Schemanummer;Preiserhebungsort (PMS);Erhebungspositionsnummer;Laufnummer;Preis T;Menge T;Aktionscode;Ausverkauf;Datum (Preis gültig seit);Text;Artikelnummer;Basispreis;Basismenge;Sonderpreis;Fehlende Preise -R-;Bemerkungen;Tablet Informationen;Preis vor Reduktion;Menge vor Reduktion;Preisreihe ist zu beenden;Produktmerkmal 1;Produktmerkmal 2;Produktmerkmal 3;Produktmerkmal 4;Produktmerkmal 5
0;7014;9438;3;63.0000;4.000;0;0;01.09.2011;Kino, Kat. 2 (mittlere);;56.0000;4.000;0;;;zeitPos=1|sortNr=6;63.0000;4.000;0;;;;;;
0;7014;9438;4;27.0000;1.000;0;0;01.12.2015;Kino, Kat. 2 (mittlere);;27.0000;1.000;0;;;zeitPos=1|sortNr=5;27.0000;1.000;0;;;;;;
0;7014;9439;1;16.0000;1.000;0;0;01.03.2015;Kino, Kat. 3 (billigste);;12.0000;1.000;0;;;zeitPos=1|sortNr=7;16.0000;1.000;0;;;;;;
0;7014;9439;2;14.0000;1.000;0;0;01.12.2010;Kino, Kat. 3 (billigste);;12.0000;1.000;0;;;zeitPos=1|sortNr=9;14.0000;1.000;0;;;;;;
0;7014;9439;3;16.0000;1.000;0;0;01.03.2015;Kino, Kat. 3 (billigste);;17.0000;1.000;0;;;zeitPos=1|sortNr=8;16.0000;1.000;0;;;;;;
0;7019;4012;1;16.9500;5.000;0;0;01.09.2016;Farben;4.102.160;16.9000;5.000;0;;;zeitPos=1|sortNr=37;16.9500;5.000;0;;;;;;
0;7019;4012;3;30.9500;5.000;0;0;01.05.2015;Farben;4.102.192;36.5000;5.000;0;;;zeitPos=1|sortNr=36;30.9500;5.000;0;;;;;;
0;7019;4012;10;65.9500;1.000;0;0;01.11.2016;Farben;3.225.537;55.9000;1.000;0;;;zeitPos=1|sortNr=38;65.9500;1.000;0;;;;;;
0;7019;4013;2;35.9500;1.000;0;0;01.05.2015;Holzprodukte und Wandverkleidung;4.965.917;29.9000;1.000;0;;;zeitPos=1|sortNr=62;35.9500;1.000;0;;;;;;
0;7019;4013;3;10.7000;1.000;0;0;01.02.2015;Holzprodukte und Wandverkleidung;3.225.984;10.5000;1.000;0;;;zeitPos=1|sortNr=64;10.7000;1.000;0;;;;;;
